Which of the following is wrong about criminal laws in the HKSAR?,Ignorance or mistake of law is good defense to a criminal charge.
Which of the following statements is/are correct about Article 26 of the National Security Law?The support assistance or facility provided to terrorist organizations could be tangible or intangible.Apart from imprisonment persons convicted of an offence under Article 26 of the National Security Law shall be subject to confiscation of property (or confiscation of proceeds of crime) as well.Penalty depends on the seriousness of the circumstances of the offence.,All of the above
Which of the following is/are act(s) that may commit the offence of incitement to subversion? Writing articles to encourage others to overthrow the Government of the HKSAR with force Advocating online for a more comprehensive appraisal system for the performance of civil servants Posting an article online that encourages the people to vandalize government facilities rendering the HKSAR incapable of performing its normal duties and functions so as to overthrow the body of power of the HKSAR,I and III only
Which institution was entrusted with the task of formulating the National Security Law for the HKSAR?,National People’s Congress Standing Committee
Article 26 of the National Security Law provides for the offence of provision of support assistance or facility to terrorists or terrorist organizations or for the commission of terrorist activities. Which of the following support or assistance is NOT an example mentioned therein?,Writing an article to advocate for imposing sanction against the HKSAR
Which of the following statements is wrong about the National Security Law?,Only the Central People’s Government is responsible for safeguarding the sovereignty unification and territorial integrity of the PRC.
How many terrorism-related activities are criminalized by the National Security Law?,4
Why did the Court in HKSAR v. Tong Ying Kit (HCCC 280/2020) find that the Defendant’s act caused grave harm to the society?The Defendant’s act caused post-traumatic stress disorder on the general public.The Defendant’s act had actually caused large-scale revolt by the general public against the police on the day of the offence.The Defendant’s intention was to instill a sense of fear amongst the law-abiding members of the public and to disrupt the maintenance of law and order.,III only
Which of the following statements about “harm” under Article 24 of the National Security Law is/are correct?The ordinary meaning of harm is hurt injury damage mischief.The “harm” caused or intended to be caused must be grave.The “harm” is limited to physical injury.,I and II only
Please select the most appropriate options for the blanks below: Under Article 24 of the National Security Law a person who organizes plans commits participates in or threatens to commit a terrorist activity causing or intended to cause grave harm to the society with a view to [BLANK] or [BLANK] shall be guilty of an offence. criticizing the policy of the Central People's Government or the Government of the HKSAR coercing the Central People's Government the Government of the HKSAR or an international organization intimidating the public in order to pursue political agenda,II and III only
Which of the following statements is/are true about Article 21 of the National Security Law?It refers to the offence to incite assist in abet or provide pecuniary or other financial assistance or property for the commission by other persons of the offence of secession.The use of force or threat of force is not an essential element for the conviction of incitement to secession.A person is guilty so long as the act of incitement has been done and he has the required mens rea and irrespective of whether or not others are being so incited.,All of the above
Which document states that the HKSAR has a constitutional obligation to legislate for specific national security offences?,The Basic Law of the HKSAR
